brand,model,serie,reference,watch_type,second_watch_type,url,price_usd,msrp_eur,launch_price_eur,availability,quantity_produced,limited_edition_name,launch_date,case_material,bottom_case_material,diameter_mm,thickness_with_crystal_mm,thickness_without_crystal_mm,lug_to_lug_mm,case_shape,case_coating_pvd_dlc,case_finishing,drill_lugs_on_case,dial_color,dial_material,dial_type,dial_pattern,indices_type,hands_types,full_lume,lume_1,lume_2,color_match_date_wheel,movement,winding,power_reserve_hour,mph,hacking,manual_winding,complication_chronograph,complication_date,complication_dual_time,complication_flying_tourbillon,complication_gmt,complication_jump_hour,complication_power_reserve,complication_small_second,complication_sub_24_hour,complication_sub_second,complication_2nd_bezel_timezone,complication_moonphase,complication_world_time_zone,complication_alarm,complication_chronoscope,crystal_material,crystal_type_shape,inner_coating,outside_coating,bezel_insert_material,external_bezel_material,bezel_type,uni_bi_direction_bezel,number_of_clicks,internal_bezel,main_crown_type,other_crowns_function,strap_1_material,strap_2_material,strap_3_material,width_mm,bracelet_tapper_to_clasp_mm,bracelet_type,bracelet_links_type,bracelet_finishing,strap_bracelet_attachment_system,clasp_type,clasp_material,waterproofing_meters,warranty_year,brand_country,made_in,assembled_in,country,waterproofing,specific_info_from_brand,main_image,brand_website
Raven,Trekker,2024,Matte Black - Sand Blasted,Diver,No,https://www.extropian.co/watches/raven-trekker-2024-matte-black-sand-blasted,650,,,Yes,100,No,2024-09-17,316L Stainless Steel,316L Stainless Steel,39,12.5,-,48,Round,No,Sandblasted,-,Black,-,Plain,Matte,Painted,Baton,No,-,No,No,Miyota 9039,Automatic,42,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Boxed Flat,Yes,No,316L Stainless Steel,316L Stainless Steel,Dive Count-Up (60mn),Uni,-,No,Screwdown,No,316L Stainless Steel,No,No,20,16,Oyster Type,Screws,Sandblasted,Quick Release Spring-bars,Deployant Double Pushers Quick Adjust,316L Stainless Steel,200,1,USA,-,-,USA,200,NODEX adjustable clasp,https://extropian.b-cdn.net/data/brand_images/raven-2024-trekker--copy-matte-black-brushed-YyMT?optimizer=image&quality=100,https://ravenwatches.com
Raven,Trekker,39mm - V1,Black No Date (Stainless Steel Bezel),Diver,No,https://www.extropian.co/watches/raven-trekker-39mm-v1-black-no-date-stainless-steel-bezel,750,,,Sold Out,-,No,-,316L Stainless Steel,316L Stainless Steel,39,13,11,47.5,Round,No,Brushed & Polished,Yes,Black,-,Plain,Glossy,Applied,Baton,No,-,-,No,Miyota 9015,Automatic,42,28.800 / 4Hz / 8 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Boxed Flat,Yes,No,Stainless Steel,316L Stainless Steel,Dive Count-Up (60mn),Uni,-,No,Screwdown,No,316L Stainless Steel,No,No,20,16,Jubilee Style,Screws,-,Spring-bars,Fliplock Deployant Micro Adjust,316L Stainless Steel,300,1,USA,-,-,USA,300,-,https://extropian.b-cdn.net/data/brand_images/Raven-Trekker-39mm - V1-Black No Date (Stainless Steel Bezel)-b321?optimizer=image&quality=100,https://ravenwatches.com
Steinhart,MILITARY 42 handwinding black,All,-,-,-,https://www.extropian.co/watches/steinhart-military-42-handwinding-black-all,6050,5500,,Yes,-,-,-,316L Stainless Steel,316L Stainless Steel,42,13,130,-,-,-,-,-,Black,-,-,-,-,-,Yes,No,-,-,ETA Unitas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,316L Stainless Steel,316L Stainless Steel,-,-,-,-,-,-,Leather,-,-,22,-,-,-,DLC,Spring-bars,Pin Buckle,316L Stainless Steel,500,-,-,-,-,-,500,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-MILITARY 42 handwinding black-All---szYt?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Steinhart,Ocean One GMT two-tone BLACK/KHAKI Diver Watch,All,-,-,-,https://www.extropian.co/watches/steinhart-ocean-one-gmt-two-tone-black-khaki-diver-watch-all,8360,7600,,Yes,-,-,-,316L Stainless Steel,Sapphire,42,13.5,135,-,-,-,-,-,Black,Gold,-,-,-,-,Yes,BGW9,-,-,SW330-1 Elabor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Flat,Yes,-,Ceramic,Ceramic,-,-,-,-,Screwdown,-,316L Stainless Steel,-,-,22,-,-,-,-,Spring-bars,-,316L Stainless Steel,3000,-,-,-,-,-,3000,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-Ocean One GMT two-tone BLACK-KHAKI Diver Watch-All---srHn?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Steinhart,Ocean 39 premium 904 Diver Watch,All,-,-,-,https://www.extropian.co/watches/steinhart-ocean-39-premium-904-diver-watch-all,9240,8400,,Yes,-,-,-,316L Stainless Steel,Sapphire,39,14.5,145,-,-,-,-,-,Black,Silver,-,-,-,-,Yes,BGW9,-,-,SW200-1 Elabor premium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,Ceramic,No,-,-,-,No,Screwdown,-,316L Stainless Steel,-,-,20,-,-,-,-,Spring-bars,-,316L Stainless Steel,3000,-,-,-,-,-,3000,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-Ocean 39 premium 904 Diver Watch-All---GkfY?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Raven,Airfield,All,White - No Date,Pilot,Field,https://www.extropian.co/watches/raven-airfield-all-white-no-date,690,,,Pre-Order,-,No,2021-08-01,316L Stainless Steel,316L Stainless Steel,40,13,-,48,Round,No,Brushed & Polished,Yes,White,-,Plain,-,Painted,-,No,-,No,No,Seiko NH38A,Automatic,41,21.600 / 3Hz / 6 Movements Per Second,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Domed,Yes,No,Ceramic,316L Stainless Steel,Fixed,Fixed,-,No,Screwdown,No,316L Stainless Steel,No,No,20,16,Oyster Type,-,Brushed,Quick Release Spring-bars,Fliplock Deployant Micro Adjust,316L Stainless Steel,200,1,USA,-,-,USA,200,-,https://extropian.b-cdn.net/data/brand_images/Raven-Airfield-All-White / No Date-5c3b?optimizer=image&quality=100,https://ravenwatches.com
Steinhart,Ocean One Vintage Chronograph II silver,All,-,-,-,https://www.extropian.co/watches/steinhart-ocean-one-vintage-chronograph-ii-silver-all,13750,12500,,Yes,-,-,-,316L Stainless Steel,Sapphire,42,16,160,-,-,-,-,-,Silver,Silver,-,-,-,-,Yes,No,-,-,LJP112 TOP Premium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,316L Stainless Steel,316L Stainless Steel,Tachymeter,-,-,-,-,-,316L Stainless Steel,-,-,20,-,-,-,Polished,Spring-bars,Butterfly,316L Stainless Steel,1000,-,-,-,-,-,1000,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-Ocean One Vintage Chronograph II silver-All---urir?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Steinhart,MILITARY 42 handwinding,All,-,-,-,https://www.extropian.co/watches/steinhart-military-42-handwinding-all,6050,5500,,Yes,-,-,-,316L Stainless Steel,316L Stainless Steel,42,13,130,-,-,-,-,-,White,-,-,-,-,-,Yes,BGW9,-,-,ETA Unitas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,316L Stainless Steel,316L Stainless Steel,-,-,-,-,-,-,Leather,-,-,22,-,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,300,-,-,-,-,-,300,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-MILITARY 42 handwinding-All---ARDF?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Serica,4512,Field Watch,California,Field,No,https://www.extropian.co/watches/serica-4512-field-watch-california,632,575,,Yes,-,No,-,316L Stainless Steel,316L Stainless Steel,37.7,11.3,-,-,Round,No,Brushed & Polished,Yes,Black,-,California,Lacquer,Painted,Arrow,No,-,No,No,Soprod P24,Handwind,40,28.800 / 4Hz / 8 Movements Per Second,-,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sapphire,Double Domed,Yes,No,No (Fixed),316L Stainless Steel,Fixed,Fixed,-,No,Screwdown,No,316L Stainless Steel,No,No,-,-,Bonklip™,-,Brushed,-,-,316L Stainless Steel,200,2,France,Switzerland,Switzerland,France,200,Crown at 3 or 9 option,https://extropian.b-cdn.net/data/brand_images/serica-field-watch-4512-california-E5Mz?optimizer=image&quality=100,https://www.serica-watches.com/en/
Steinhart,Architect blue,All,-,-,-,https://www.extropian.co/watches/steinhart-architect-blue-all,9240,8400,,Yes,-,-,-,-,Sapphire,39,11.5,115,-,-,-,-,-,Blue,Silver,-,-,-,-,Yes,BGW9,-,-,SW300-1 Elabor Premium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,316L Stainless Steel,316L Stainless Steel,-,-,-,-,-,-,316L Stainless Steel,-,-,14,-,-,-,-,-,-,316L Stainless Steel,1000,-,-,-,-,-,1000,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-Architect blue-All---lznT?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
Steinhart,Le Mans GT Chronograph,All,-,-,-,https://www.extropian.co/watches/steinhart-le-mans-gt-chronograph-all,10560,9600,,Yes,-,-,-,316L Stainless Steel,316L Stainless Steel,45,16,160,-,-,-,-,-,White,-,Sandwich,-,-,-,Yes,BGW9,-,-,ETA Valjoux,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No,-,-,-,-,Sapphire,Domed,Yes,-,316L Stainless Steel,316L Stainless Steel,Tachymeter,-,-,-,-,-,316L Stainless Steel,-,-,22,-,-,-,-,Spring-bars,Pin Buckle,316L Stainless Steel,300,-,-,-,-,-,300,-,https://extropian.b-cdn.net/data/brand_images/Steinhart-Le Mans GT Chronograph-All---Ajra?optimizer=image&quality=100,https://www.tiktok.com/@extropianwatches?_t=8fZBcyymPb7&_r=1
